id|id_parent|level|index|name|url
50302|50300|03|02|Courroies plates|http://www.directindustry.fr/fabricant-industriel/courroie-plate-60976.html
50303|50300|03|03|Courroies rondes|http://www.directindustry.fr/fabricant-industriel/courroie-ronde-71973.html
50304|50300|03|04|Courroies striées|http://www.directindustry.fr/fabricant-industriel/courroie-striee-75020.html
50305|50300|03|05|Courroies synchrones|http://www.directindustry.fr/fabricant-industriel/courroie-synchrone-73677.html
50306|50300|03|06|Systèmes d'entraînement à courroie|http://www.directindustry.fr/fabricant-industriel/systeme-entrainement-courroie-149632.html
50307|50300|03|07|Poulies|http://www.directindustry.fr/fabricant-industriel/poulie-65893.html
50308|50300|03|08|Chaînes|http://www.directindustry.fr/fabricant-industriel/chaine-64959.html
50309|50300|03|09|Guide-chaînes|http://www.directindustry.fr/fabricant-industriel/guide-chaine-76874.html
50310|50300|03|10|Pignons|http://www.directindustry.fr/fabricant-industriel/pignon-70195.html
50311|50300|03|11|Tendeurs|http://www.directindustry.fr/fabricant-industriel/tendeur-76734.html
50312|50300|03|12|Autres entraînements et accessoires|http://www.directindustry.fr/cat/transmission-mecanique/autres-entrainements-accessoires-L-2975.html
50313|50300|03|13|Accouplements|http://www.directindustry.fr/fabricant-industriel/accouplement-61051.html
50314|50300|03|14|Accouplements rigides|http://www.directindustry.fr/fabricant-industriel/accouplement-rigide-61105.html
50315|50300|03|15|Accouplements flexibles|http://www.directindustry.fr/fabricant-industriel/accouplement-flexible-113125.html
50316|50300|03|16|Accouplements flexibles rigides en torsion|http://www.directindustry.fr/cat/transmission-mecanique/accouplements-flexibles-rigides-torsion-L-593.html
50317|50300|03|17|Accouplements à bride|http://www.directindustry.fr/fabricant-industriel/accouplement-bride-143303.html
50318|50300|03|18|Accouplements manchons|http://www.directindustry.fr/fabricant-industriel/accouplement-manchon-150231.html
50319|50300|03|19|Accouplements hydrodynamiques|http://www.directindustry.fr/fabricant-industriel/accouplement-hydrodynamique-113166.html
50320|50300|03|20|Autres accouplements et accessoires|http://www.directindustry.fr/cat/transmission-mecanique/autres-accouplements-accessoires-L-54.html
50321|50300|03|21|Limiteurs de couple|http://www.directindustry.fr/fabricant-industriel/limiteur-couple-61311.html
50322|50300|03|22|Arbres|http://www.directindustry.fr/fabricant-industriel/arbre-79974.html
50323|50300|03|23|Joints de cardan|http://www.directindustry.fr/fabricant-industriel/joint-cardan-61052.html
50324|50300|03|24|Roues libres|http://www.directindustry.fr/fabricant-industriel/roue-libre-60787.html
50325|50300|03|25|Freins|http://www.directindustry.fr/fabricant-industriel/frein-64405.html
50326|50300|03|26|Freins électromagnétiques|http://www.directindustry.fr/fabricant-industriel/frein-electromagnetique-76572.html
50327|50300|03|27|Freins hydrauliques|http://www.directindustry.fr/fabricant-industriel/frein-hydraulique-72235.html
50328|50300|03|28|Freins pneumatiques|http://www.directindustry.fr/fabricant-industriel/frein-pneumatique-72236.html
50329|50300|03|29|Étriers de frein|http://www.directindustry.fr/fabricant-industriel/etrier-frein-82475.html
50330|50300|03|30|Bridage|http://www.directindustry.fr/fabricant-industriel/bridage-72103.html
50331|50300|03|31|Autres freins et accessoires|http://www.directindustry.fr/cat/transmission-mecanique/autres-freins-accessoires-L-2982.html
50332|50300|03|32|Embrayages|http://www.directindustry.fr/fabricant-industriel/embrayage-64404.html
50333|50300|03|33|Embrayages électromagnétiques|http://www.directindustry.fr/fabricant-industriel/embrayage-electromagnetique-138627.html
50334|50300|03|34|Embrayages pneumatiques|http://www.directindustry.fr/fabricant-industriel/embrayage-pneumatique-73146.html
50335|50300|03|35|Embrayages hydrauliques|http://www.directindustry.fr/fabricant-industriel/embrayage-hydraulique-81016.html
50336|50300|03|36|Embrayages à ressort|http://www.directindustry.fr/fabricant-industriel/embrayage-ressort-95273.html
50337|50300|03|37|Autres embrayages et amortisseurs|http://www.directindustry.fr/cat/transmission-mecanique/autres-embrayages-amortisseurs-L-994.html
50338|50300|03|38|Réducteurs planétaires|http://www.directindustry.fr/fabricant-industriel/reducteur-planetaire-68955.html
50339|50300|03|39|Réducteurs à train d'engrenages|http://www.directindustry.fr/fabricant-industriel/reducteur-train-engrenages-219838.html
50340|50300|03|40|Réducteurs à couples coniques|http://www.directindustry.fr/fabricant-industriel/reducteur-couple-conique-79341.html
50341|50300|03|41|Réducteurs à vis sans fin|http://www.directindustry.fr/cat/transmission-mecanique/reducteurs-vis-sans-fin-L-1402.html
50342|50300|03|42|Réducteurs harmoniques|http://www.directindustry.fr/fabricant-industriel/reducteur-harmonique-83534.html
50343|50300|03|43|Réducteurs magnétiques|http://www.directindustry.fr/cat/transmission-mecanique/reducteurs-magnetiques-L-2983.html
50344|50300|03|44|Réducteurs pour applications spéciales|http://www.directindustry.fr/cat/transmission-mecanique/reducteurs-applications-speciales-L-1408.html
50345|50300|03|45|Renvois d'angles|http://www.directindustry.fr/fabricant-industriel/renvoi-angle-99479.html
50346|50300|03|46|Vis à billes|http://www.directindustry.fr/fabricant-industriel/vis-billes-61309.html
50347|50300|03|47|Vis à rouleaux|http://www.directindustry.fr/fabricant-industriel/vis-rouleaux-77110.html
50348|50300|03|48|Vis coulissantes|http://www.directindustry.fr/fabricant-industriel/vis-coulissante-77112.html
50349|50300|03|49|Engrenages|http://www.directindustry.fr/fabricant-industriel/engrenage-62750.html
50350|50300|03|50|Crémaillères|http://www.directindustry.fr/fabricant-industriel/cremaillere-215771.html
50400|50000|02|04|Actionneurs et Positionnement|http://www.directindustry.fr/cat/actionneurs-positionnement-BU.html
50401|50400|03|01|Vérins à simple effet|http://www.directindustry.fr/fabricant-industriel/verin-simple-effet-87091.html
50402|50400|03|02|Vérins à double effet|http://www.directindustry.fr/fabricant-industriel/verin-double-effet-87093.html
50403|50400|03|03|Vérins pneumatiques|http://www.directindustry.fr/fabricant-industriel/verin-pneumatique-61025.html
50404|50400|03|04|Vérins hydrauliques|http://www.directindustry.fr/fabricant-industriel/verin-hydraulique-61005.html
50405|50400|03|05|Vérins rotatifs|http://www.directindustry.fr/fabricant-industriel/verin-rotatif-73127.html
50406|50400|03|06|Autres vérins hydrauliques|http://www.directindustry.fr/cat/actionneurs-positionnement/autres-verins-hydrauliques-BU-2231.html
50407|50400|03|07|Autres vérins pneumatiques|http://www.directindustry.fr/cat/actionneurs-positionnement/autres-verins-pneumatiques-BU-2344.html
50408|50400|03|08|Actionneurs|http://www.directindustry.fr/fabricant-industriel/actionneur-67149.html
50409|50400|03|09|Vérins électriques|http://www.directindustry.fr/fabricant-industriel/verin-electrique-142849.html
50410|50400|03|10|Vérins mécanique|http://www.directindustry.fr/fabricant-industriel/verin-mecanique-77063.html
